file_type,file_path,preview_detected,status,screenshot
PNG,D:\test_automation_ui\test_automation_ui\sample.png,True,PASS,D:\test_automation_ui\test_automation_ui\results\preview_pass.png
PNG,D:\test_automation_ui\test_automation_ui\sample.png,True,PASS,D:\test_automation_ui\test_automation_ui\results\preview_pass.png
PNG,/Users/seyonshanmugasivananthan/Downloads/IT23665002/test_automation_ui/IT23676442_seyon/sample.png,True,PASS,/Users/seyonshanmugasivananthan/Downloads/IT23665002/test_automation_ui/IT23676442_seyon/results/preview_pass.png
PNG,/Users/seyonshanmugasivananthan/Downloads/IT23665002/test_automation_ui/IT23676442_seyon/sample.png,True,PASS,/Users/seyonshanmugasivananthan/Downloads/IT23665002/test_automation_ui/IT23676442_seyon/results/preview_pass.png
